Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,179967,-,-,-,34.41,-119.7,-8,55,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,GHI,Temperature,Wind Speed
2019,1,1,0,30,0,8.9,2.7
2019,1,1,1,30,0,8.8,3
2019,1,1,2,30,0,8.700000000000001,3.2
2019,1,1,3,30,0,8.5,3.2
2019,1,1,4,30,0,8.200000000000001,3.1
2019,1,1,5,30,0,8,3.1
2019,1,1,6,30,0,8.200000000000001,2.9000000000000004
2019,1,1,7,30,40,9.600000000000001,2.8000000000000003
2019,1,1,8,30,225,11.700000000000001,2.7
2019,1,1,9,30,392,13.4,2.3000000000000003
2019,1,1,10,30,516,14.600000000000001,1.5
2019,1,1,11,30,583,15.4,1.1
2019,1,1,12,30,585,15.9,1.3
2019,1,1,13,30,519,16,1.6
2019,1,1,14,30,399,15.600000000000001,2
2019,1,1,15,30,235,15.3,2.2
2019,1,1,16,30,60,11.9,2.6
2019,1,1,17,30,0,10.700000000000001,2.7
2019,1,1,18,30,0,10.100000000000001,2.7
2019,1,1,19,30,0,9.9,2.4000000000000004
2019,1,1,20,30,0,9.9,2.2
2019,1,1,21,30,0,10,2.1
2019,1,1,22,30,0,10,2
2019,1,1,23,30,0,10,1.9000000000000001
2019,1,2,0,30,0,10.200000000000001,1.7000000000000002
2019,1,2,1,30,0,10.700000000000001,1.3
2019,1,2,2,30,0,11,0.9
2019,1,2,3,30,0,11.100000000000001,0.8
2019,1,2,4,30,0,11,1
2019,1,2,5,30,0,11,0.8
2019,1,2,6,30,0,11,0.8
2019,1,2,7,30,34,11.700000000000001,0.9
2019,1,2,8,30,215,13.200000000000001,1.1
2019,1,2,9,30,381,14.5,1.6
2019,1,2,10,30,503,15.5,1.9000000000000001
2019,1,2,11,30,569,16.5,2
2019,1,2,12,30,572,17,2
2019,1,2,13,30,511,17.2,2
2019,1,2,14,30,393,16.6,1.8
2019,1,2,15,30,232,16.2,1.8
2019,1,2,16,30,60,13.200000000000001,1.4000000000000001
2019,1,2,17,30,0,12.700000000000001,1
2019,1,2,18,30,0,12.5,0.8
2019,1,2,19,30,0,12.200000000000001,1.1
2019,1,2,20,30,0,11.8,1.5
2019,1,2,21,30,0,11.600000000000001,1.7000000000000002
2019,1,2,22,30,0,11.200000000000001,1.8
2019,1,2,23,30,0,10.9,1.9000000000000001
2019,1,3,0,30,0,10.8,1.9000000000000001
2019,1,3,1,30,0,10.8,1.8
2019,1,3,2,30,0,11,1.7000000000000002
2019,1,3,3,30,0,11.100000000000001,1.6
