Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,145012,-,-,-,36.61,-121.9,-8,1,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,GHI,Wind Speed
2021,1,1,0,30,10.700000000000001,0,1.8
2021,1,1,1,30,10.8,0,1.7000000000000002
2021,1,1,2,30,10.8,0,1.7000000000000002
2021,1,1,3,30,10.9,0,1.5
2021,1,1,4,30,11.200000000000001,0,1.1
2021,1,1,5,30,11.200000000000001,0,0.7000000000000001
2021,1,1,6,30,10.8,0,0.9
2021,1,1,7,30,10.9,16,1.3
2021,1,1,8,30,12,156,1.4000000000000001
2021,1,1,9,30,13.700000000000001,311,1
2021,1,1,10,30,15.100000000000001,432,0.8
2021,1,1,11,30,15.600000000000001,501,1.3
2021,1,1,12,30,15.600000000000001,379,1.5
2021,1,1,13,30,15.5,371,1.3
2021,1,1,14,30,15,281,1.2000000000000002
2021,1,1,15,30,14.700000000000001,110,1.2000000000000002
2021,1,1,16,30,12.9,49,1.5
2021,1,1,17,30,12.3,0,1.7000000000000002
2021,1,1,18,30,11.9,0,1.8
2021,1,1,19,30,11.700000000000001,0,1.8
2021,1,1,20,30,11.8,0,1.6
2021,1,1,21,30,11.9,0,1.1
2021,1,1,22,30,12,0,0.4
2021,1,1,23,30,11.9,0,0.1
2021,1,2,0,30,11.600000000000001,0,0.30000000000000004
2021,1,2,1,30,11.3,0,1
2021,1,2,2,30,11.100000000000001,0,1.4000000000000001
2021,1,2,3,30,11.100000000000001,0,1.5
2021,1,2,4,30,11.100000000000001,0,1.6
2021,1,2,5,30,11.200000000000001,0,1.9000000000000001
2021,1,2,6,30,11.3,0,2.3000000000000003
2021,1,2,7,30,12,8,2.4000000000000004
2021,1,2,8,30,12.8,63,2.3000000000000003
2021,1,2,9,30,13.5,73,2.4000000000000004
2021,1,2,10,30,14,136,2.6
2021,1,2,11,30,14.3,122,2.7
2021,1,2,12,30,14.4,139,2.6
2021,1,2,13,30,14.4,121,2.2
2021,1,2,14,30,14.3,46,1.9000000000000001
2021,1,2,15,30,14.200000000000001,32,1.8
2021,1,2,16,30,13.3,22,1.4000000000000001
2021,1,2,17,30,13,0,1.3
2021,1,2,18,30,13,0,1.3
2021,1,2,19,30,12.8,0,1.4000000000000001
2021,1,2,20,30,12.600000000000001,0,1.5
2021,1,2,21,30,12.4,0,1.5
2021,1,2,22,30,12.200000000000001,0,1.5
2021,1,2,23,30,12,0,1.6
2021,1,3,0,30,11.8,0,1.5
2021,1,3,1,30,11.9,0,1.1
2021,1,3,2,30,11.9,0,1.1
2021,1,3,3,30,11.700000000000001,0,1.2000000000000002
2021,1,3,4,30,11.600000000000001,0,1.1
2021,1,3,5,30,11.600000000000001,0,1
2021,1,3,6,30,11.4,0,1.1
2021,1,3,7,30,11.600000000000001,8,1
2021,1,3,8,30,12.5,93,0.9
2021,1,3,9,30,13.9,212,0.8
2021,1,3,10,30,15.200000000000001,330,0.7000000000000001
2021,1,3,11,30,16.2,383,0.7000000000000001
2021,1,3,12,30,16.5,396,0.7000000000000001
2021,1,3,13,30,16.3,349,0.7000000000000001
2021,1,3,14,30,15.8,229,0.7000000000000001
2021,1,3,15,30,15.4,99,0.7000000000000001
2021,1,3,16,30,13.700000000000001,15,0.9
2021,1,3,17,30,13.100000000000001,0,0.5
2021,1,3,18,30,12.8,0,0.6000000000000001
2021,1,3,19,30,12.700000000000001,0,1.2000000000000002
2021,1,3,20,30,12.600000000000001,0,1.4000000000000001
2021,1,3,21,30,12.5,0,1.7000000000000002
2021,1,3,22,30,12.3,0,1.9000000000000001
2021,1,3,23,30,12.100000000000001,0,2
2021,1,4,0,30,12,0,1.9000000000000001
2021,1,4,1,30,11.9,0,2
2021,1,4,2,30,11.700000000000001,0,2.3000000000000003
2021,1,4,3,30,11.700000000000001,0,2.7
2021,1,4,4,30,12.100000000000001,0,3
2021,1,4,5,30,12.5,0,3.3000000000000003
2021,1,4,6,30,12.8,0,3.5
2021,1,4,7,30,13.4,6,3.7
2021,1,4,8,30,14.100000000000001,48,4.1000000000000005
2021,1,4,9,30,14.600000000000001,138,4.3
2021,1,4,10,30,14.9,200,4.3
2021,1,4,11,30,14.9,188,3.9000000000000004
2021,1,4,12,30,15,199,3.2
2021,1,4,13,30,15.4,294,2.7
2021,1,4,14,30,15.600000000000001,90,2.3000000000000003
2021,1,4,15,30,15.600000000000001,153,2.2
2021,1,4,16,30,13.600000000000001,67,1.2000000000000002
2021,1,4,17,30,12.700000000000001,0,1.4000000000000001
2021,1,4,18,30,12.100000000000001,0,1.8
2021,1,4,19,30,11.600000000000001,0,2.3000000000000003
2021,1,4,20,30,11.3,0,2.5
2021,1,4,21,30,11.3,0,2.4000000000000004
2021,1,4,22,30,11.100000000000001,0,2.2
2021,1,4,23,30,10.8,0,2.2
2021,1,5,0,30,10.5,0,2.4000000000000004
2021,1,5,1,30,10.200000000000001,0,2.7
2021,1,5,2,30,10,0,2.8000000000000003
2021,1,5,3,30,9.9,0,2.9000000000000004
2021,1,5,4,30,9.700000000000001,0,2.8000000000000003
2021,1,5,5,30,9.600000000000001,0,2.6
2021,1,5,6,30,9.5,0,2.2
2021,1,5,7,30,9.9,16,1.8
