Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,179967,-,-,-,34.41,-119.7,-8,55,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,GHI,Temperature,Wind Speed
2020,1,1,0,30,0,12.8,2.2
2020,1,1,1,30,0,13.5,2.1
2020,1,1,2,30,0,13.8,2
2020,1,1,3,30,0,13.700000000000001,1.9000000000000001
2020,1,1,4,30,0,13.5,1.9000000000000001
2020,1,1,5,30,0,13.600000000000001,1.8
2020,1,1,6,30,0,13.8,1.6
2020,1,1,7,30,34,14.5,1.5
2020,1,1,8,30,207,15.9,1.4000000000000001
2020,1,1,9,30,330,17.2,1.4000000000000001
2020,1,1,10,30,398,18.3,1.6
2020,1,1,11,30,549,19.1,2.2
2020,1,1,12,30,550,19.400000000000002,2.6
2020,1,1,13,30,488,19.400000000000002,3
2020,1,1,14,30,367,18.900000000000002,3.2
2020,1,1,15,30,216,18.400000000000002,3.2
2020,1,1,16,30,55,16.1,3.1
2020,1,1,17,30,0,15.200000000000001,3.3000000000000003
2020,1,1,18,30,0,14.700000000000001,3.4000000000000004
2020,1,1,19,30,0,14.3,3.5
2020,1,1,20,30,0,14.100000000000001,3.6
2020,1,1,21,30,0,13.8,3.8000000000000003
2020,1,1,22,30,0,13.600000000000001,3.9000000000000004
2020,1,1,23,30,0,13.600000000000001,3.9000000000000004
2020,1,2,0,30,0,13.600000000000001,4
2020,1,2,1,30,0,13.600000000000001,4.2
2020,1,2,2,30,0,13.5,4.3
2020,1,2,3,30,0,13.4,4.4
2020,1,2,4,30,0,13.3,4.7
2020,1,2,5,30,0,13.200000000000001,4.7
2020,1,2,6,30,0,13.100000000000001,4.6000000000000005
2020,1,2,7,30,45,13.600000000000001,4.5
2020,1,2,8,30,209,15,4.3
2020,1,2,9,30,364,16.5,4
2020,1,2,10,30,488,18,3.4000000000000004
2020,1,2,11,30,503,19.1,3.1
2020,1,2,12,30,505,19.6,3
2020,1,2,13,30,446,19.5,3.1
2020,1,2,14,30,325,18.8,2.9000000000000004
2020,1,2,15,30,205,18.3,2.8000000000000003
2020,1,2,16,30,39,15.5,2.6
2020,1,2,17,30,0,14.700000000000001,2.8000000000000003
2020,1,2,18,30,0,14.4,2.8000000000000003
2020,1,2,19,30,0,14.100000000000001,2.8000000000000003
2020,1,2,20,30,0,13.9,2.9000000000000004
2020,1,2,21,30,0,13.700000000000001,2.8000000000000003
2020,1,2,22,30,0,13.8,2.6
2020,1,2,23,30,0,14,2.2
