Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,145012,-,-,-,36.61,-121.9,-8,1,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,GHI,Wind Speed
2019,1,1,0,30,6.800000000000001,0,2.9000000000000004
2019,1,1,1,30,6.800000000000001,0,2.9000000000000004
2019,1,1,2,30,6.9,0,2.9000000000000004
2019,1,1,3,30,7,0,3
2019,1,1,4,30,6.800000000000001,0,3.1
2019,1,1,5,30,6.7,0,3.1
2019,1,1,6,30,6.7,0,3
2019,1,1,7,30,7.6000000000000005,19,2.8000000000000003
2019,1,1,8,30,9.3,171,2.5
2019,1,1,9,30,11.100000000000001,333,2.1
2019,1,1,10,30,12.5,459,1.6
2019,1,1,11,30,13.3,532,1.1
2019,1,1,12,30,14,540,0.8
2019,1,1,13,30,14.3,489,1.1
2019,1,1,14,30,14.100000000000001,382,1.7000000000000002
2019,1,1,15,30,13.8,225,1.9000000000000001
2019,1,1,16,30,11.600000000000001,65,2.1
2019,1,1,17,30,11.200000000000001,0,2
2019,1,1,18,30,11.100000000000001,0,1.9000000000000001
2019,1,1,19,30,11,0,1.7000000000000002
2019,1,1,20,30,10.9,0,1.5
2019,1,1,21,30,10.700000000000001,0,1.4000000000000001
2019,1,1,22,30,10.5,0,1.4000000000000001
2019,1,1,23,30,10.3,0,1.4000000000000001
2019,1,2,0,30,9.9,0,1.6
2019,1,2,1,30,9.4,0,1.9000000000000001
2019,1,2,2,30,8.9,0,2.1
2019,1,2,3,30,8.5,0,2.2
2019,1,2,4,30,8.200000000000001,0,2.2
2019,1,2,5,30,8,0,2.2
2019,1,2,6,30,8,0,2.1
2019,1,2,7,30,8.700000000000001,17,1.9000000000000001
2019,1,2,8,30,10.100000000000001,165,1.7000000000000002
2019,1,2,9,30,11.8,324,1.4000000000000001
2019,1,2,10,30,13.200000000000001,449,1.2000000000000002
2019,1,2,11,30,14.100000000000001,521,1.3
2019,1,2,12,30,14.600000000000001,533,1.4000000000000001
2019,1,2,13,30,14.9,482,1.6
2019,1,2,14,30,14.700000000000001,376,1.6
2019,1,2,15,30,14.5,228,1.5
2019,1,2,16,30,12.5,65,1.8
2019,1,2,17,30,11.8,0,1.9000000000000001
2019,1,2,18,30,11.5,0,1.8
2019,1,2,19,30,11.4,0,1.5
2019,1,2,20,30,11.4,0,1.3
2019,1,2,21,30,11.100000000000001,0,1.2000000000000002
2019,1,2,22,30,10.600000000000001,0,1.2000000000000002
2019,1,2,23,30,10.100000000000001,0,1.3
2019,1,3,0,30,9.8,0,1.4000000000000001
2019,1,3,1,30,9.5,0,1.6
2019,1,3,2,30,9.200000000000001,0,1.6
2019,1,3,3,30,9.1,0,1.6
2019,1,3,4,30,9,0,1.4000000000000001
2019,1,3,5,30,9,0,1.3
2019,1,3,6,30,9.1,0,1.2000000000000002
2019,1,3,7,30,9.700000000000001,16,1.2000000000000002
2019,1,3,8,30,11.100000000000001,161,1.1
2019,1,3,9,30,12.5,320,1
2019,1,3,10,30,13.5,445,0.8
2019,1,3,11,30,14.3,517,0.6000000000000001
2019,1,3,12,30,14.9,529,0.4
2019,1,3,13,30,15.3,469,0.2
2019,1,3,14,30,15.200000000000001,290,0.30000000000000004
2019,1,3,15,30,15,193,0.5
2019,1,3,16,30,13.4,56,1.1
2019,1,3,17,30,12.8,0,1.1
2019,1,3,18,30,12.4,0,0.9
2019,1,3,19,30,12.100000000000001,0,0.9
2019,1,3,20,30,11.8,0,1.1
2019,1,3,21,30,11.600000000000001,0,1.1
2019,1,3,22,30,11.4,0,1
2019,1,3,23,30,11.3,0,0.8
2019,1,4,0,30,11.200000000000001,0,0.8
2019,1,4,1,30,11.100000000000001,0,1.1
2019,1,4,2,30,10.8,0,1.4000000000000001
2019,1,4,3,30,10.4,0,1.8
2019,1,4,4,30,10,0,2.3000000000000003
2019,1,4,5,30,9.700000000000001,0,2.6
2019,1,4,6,30,9.600000000000001,0,2.8000000000000003
2019,1,4,7,30,10.600000000000001,9,2.8000000000000003
2019,1,4,8,30,12.5,110,3
2019,1,4,9,30,14,223,3.3000000000000003
2019,1,4,10,30,15,295,3.4000000000000004
2019,1,4,11,30,15.600000000000001,240,3.3000000000000003
2019,1,4,12,30,15.9,367,3.4000000000000004
2019,1,4,13,30,15.9,475,3.3000000000000003
2019,1,4,14,30,15.600000000000001,376,3.2
2019,1,4,15,30,15.4,229,3.1
2019,1,4,16,30,13.200000000000001,67,3.2
2019,1,4,17,30,12.3,0,3.6
2019,1,4,18,30,12.100000000000001,0,3.8000000000000003
2019,1,4,19,30,12.100000000000001,0,3.9000000000000004
2019,1,4,20,30,12.200000000000001,0,4.1000000000000005
2019,1,4,21,30,12.4,0,4.2
2019,1,4,22,30,12.5,0,4.4
2019,1,4,23,30,12.600000000000001,0,4.5
2019,1,5,0,30,12.8,0,4.7
2019,1,5,1,30,12.9,0,4.800000000000001
2019,1,5,2,30,13,0,5
2019,1,5,3,30,13,0,5.2
2019,1,5,4,30,13,0,5.7
2019,1,5,5,30,13.100000000000001,0,6.300000000000001
2019,1,5,6,30,13.200000000000001,0,6.800000000000001
2019,1,5,7,30,13.5,5,7.2
2019,1,5,8,30,13.8,37,7.4
2019,1,5,9,30,14.100000000000001,40,7.5
2019,1,5,10,30,14.600000000000001,34,7.5
2019,1,5,11,30,15,52,7.4
2019,1,5,12,30,15.3,69,7
2019,1,5,13,30,15.3,72,6.4
2019,1,5,14,30,15,128,5.4
2019,1,5,15,30,14.8,83,4.800000000000001
2019,1,5,16,30,13.8,45,3.7
2019,1,5,17,30,13.3,0,3.4000000000000004
2019,1,5,18,30,13,0,3.2
2019,1,5,19,30,12.700000000000001,0,2.8000000000000003
2019,1,5,20,30,12.3,0,2.7
2019,1,5,21,30,12,0,2.7
2019,1,5,22,30,11.8,0,2.6
2019,1,5,23,30,11.600000000000001,0,2.4000000000000004
2019,1,6,0,30,11.5,0,2.4000000000000004
2019,1,6,1,30,11.4,0,2.4000000000000004
2019,1,6,2,30,11.3,0,2.5
2019,1,6,3,30,11.3,0,2.7
2019,1,6,4,30,11.600000000000001,0,2.9000000000000004
2019,1,6,5,30,11.8,0,3.3000000000000003
2019,1,6,6,30,12.100000000000001,0,3.8000000000000003
2019,1,6,7,30,12.3,6,4.4
2019,1,6,8,30,12.600000000000001,36,5
2019,1,6,9,30,12.9,137,5.6000000000000005
2019,1,6,10,30,13.100000000000001,83,6.300000000000001
2019,1,6,11,30,13.4,62,6.800000000000001
2019,1,6,12,30,13.700000000000001,38,6.9
2019,1,6,13,30,14,27,7
2019,1,6,14,30,14.200000000000001,23,7
2019,1,6,15,30,14.3,35,6.9
2019,1,6,16,30,14.5,21,6.800000000000001
2019,1,6,17,30,14.5,0,7
2019,1,6,18,30,14.700000000000001,0,7.1000000000000005
2019,1,6,19,30,15,0,6.7
